price_sq,price,state,county,Risk_1_Type,Risk_1_Score,Risk_2_Type,Risk_2_Score,Risk_3_Type,Risk_3_Score,risk_score,risk_ratng,income,white_pct,black_pct,asian_pct,hispanic_pct,ed_pct,tax_paid_2022,tax_trend,unemp_rate,pop_density
146,216693.2562554898,AL,Autauga,HWAV,87.08240535,TRND,73.84664333,HRCN,67.65365635,49.22048998,Relatively Low,53079.0,0.7071167417736587,0.1930448091148711,0.0148456763880622,0.0360003401071337,28.1314686727,531.0,8.1,1.9,96.26017832379206
198,339110.5379177238,AL,Baldwin,LTNG,99.38867439,HRCN,98.87842082,WFIR,92.65033408,97.70919504,Relatively High,60969.0,0.8046658929010602,0.0776685205400251,0.0087544818718799,0.054736006420241,32.4502861517,796.0,10.9,2.0,112.98560286333397
122,173013.0083604556,AL,Barbour,LTNG,82.3037323,DRGT,80.68724149,HRCN,77.16464782,56.18835507,Relatively Low,41531.0,0.4395194861832454,0.4698093010347698,0.0040835745153233,0.0598659953217301,11.1530980828,398.0,17.8,4.0,27.53800259900779
129,201356.45072388396,AL,Bibb,TRND,71.96945593,HWAV,67.22876233,ERQK,61.69265033,32.48488705,Very Low,39835.0,0.7375409321311622,0.1969228008791997,0.0011662853810613,0.0331942762302067,11.9138070623,286.0,8.7,2.0,35.16120822972852
137,220333.4546897108,AL,Blount,TRND,89.7231944,LTNG,84.07335907,HWAV,82.43716195,65.12885778,Relatively Low,45021.0,0.8415463185307944,0.0139682754422159,0.0029424696452125,0.0975919098995501,14.9036097177,464.0,11.5,1.8,89.76309990993323
66,146535.26692527276,AL,Butler,LTNG,81.14543115,HRCN,80.26020637,TRND,58.86096087,54.05663379,Relatively Low,49192.0,0.5080573198257309,0.4403443388798488,0.0075061676552411,0.0136475775549839,14.0391512253,315.0,5.7,2.7,24.200287700121816
111,175094.20593183333,AL,Calhoun,TRND,97.20012727,LNDS,91.93703823,HWAV,89.50047725,84.37798282,Relatively Moderate,44737.0,0.6829123762248692,0.2178356420848326,0.009996478903479,0.0430260818783761,19.5283007114,592.0,5.9,2.4,187.96836155474037
109,151291.60076147222,AL,Chambers,HWAV,79.38275533,HRCN,70.03140422,TRND,65.06522431,42.34807509,Very Low,40735.0,0.5353732888531002,0.3865466467272518,0.0110721269987346,0.0355746002530771,13.653939101,439.0,-2.9,1.9,57.02210463938209
165,244093.8186007759,AL,Cherokee,TRND,76.26471524,ERQK,71.68310531,HWAV,64.74705695,42.06172447,Very Low,45099.0,0.903568139041288,0.0395258499859837,0.0022025549637579,0.0160185815546033,12.8227381211,599.0,10.1,2.2,41.141300485092025
122,218165.47220219803,AL,Chilton,TRND,86.31880369,HWAV,79.28730512,LTNG,78.92535393,58.54279351,Relatively Low,46120.0,0.7748256098102813,0.0897498556004798,0.0039098946994268,0.0981472430799306,13.5357306609,458.0,6.5,1.9,63.570294058539865
100,179208.95153329466,AL,Clarke,HRCN,86.58591297,LTNG,76.93050193,HWAV,76.20108177,72.09672288,Relatively Low,47362.0,0.5184735998613939,0.4428033092216399,0.0039416121626889,0.0089227703902629,13.8853033376,382.0,11.0,4.7,18.208701484605115
145,182308.3112849665,AL,Clay,TRND,61.69265033,HRCN,59.48855989,LNDS,53.71024735,22.36716513,Very Low,39082.0,0.791022759202023,0.1364147232368643,0.0032312447316661,0.0315397583590896,13.381482596,343.0,11.7,2.2,23.217690735989006
115,228138.20225671225,AL,Cleburne,TRND,63.21985364,LNDS,55.73401863,HRCN,55.04710633,22.55806554,Very Low,44266.0,0.9125929861849096,0.0303533475026567,0.001394792773645,0.0188629117959617,16.3841272848,399.0,5.0,2.1,26.540679318389326
127,197924.8112058031,AL,Coffee,HRCN,93.76401974,LTNG,93.46846847,TRND,89.1823099,89.08685969,Relatively Moderate,53573.0,0.668830075750491,0.1616571588889928,0.0166838118395211,0.0914055924436547,22.6806404336,575.0,-2.5,2.1,77.67494362637419
135,195536.5760027765,AL,Colbert,SWND,92.42761693,ERQK,90.29589564,LTNG,89.8005148,71.90582246,Relatively Low,47137.0,0.7556048718262358,0.1611477099970293,0.0075488842679154,0.0302654341482167,17.8583807873,582.0,11.9,2.5,90.71436618965606
66,139611.50904999973,AL,Conecuh,HRCN,79.22835352,LTNG,67.11711712,LNDS,62.92964986,47.53420299,Very Low,42999.0,0.5031473656980253,0.4394239889626627,0.0028455635078037,0.0220746744847805,12.4523946913,293.0,9.7,3.0,13.446029057627353
119,218201.19464478607,AL,Coosa,HRCN,52.35531629,LNDS,51.36524253,HWAV,46.99331849,7.508749602,Very Low,40420.0,0.6553384037739483,0.2888225666698758,0.0007701935111196,0.0193511119668816,11.2063686467,278.0,7.3,2.2,15.332572746997455
106,164381.5445838812,AL,Covington,HRCN,94.07806191,LTNG,92.24581725,DRGT,78.9055043,88.70505886,Relatively Moderate,43081.0,0.8159968059622039,0.1214532871972318,0.0063880755922278,0.0174075059888208,15.8056091745,329.0,4.4,2.5,35.58628873071328
106,138581.65684225142,AL,Crenshaw,HRCN,78.33109017,LTNG,64.96138996,DRGT,59.14731149,46.26153357,Very Low,47732.0,0.7073669849931787,0.2338184023040776,0.0062907382143398,0.0141731089889343,16.4206443271,331.0,13.7,2.3,21.355890259372302
156,232006.40554366529,AL,Cullman,SWND,91.66401527,TRND,86.82787146,ERQK,85.77791919,69.64683423,Relatively Low,50812.0,0.8911069127990349,0.0104022033551089,0.0059408644982131,0.0471854869915553,16.477056949,414.0,14.7,1.7,114.94231658785533
