,population_density,risk_score,income,white_pct,black_pct,asian_pct,hispanic_pct,ed_pct,tax_paid_2022,tax_trend,unemployment_rate,price
2227,12.265239885970733,65.44702514,75549.0,0.2277888392616908,0.0057579508152612,0.0023677554754345,0.7493407953505893,11.4471039649,1530.0,14.9,3.1,189654.84183478364
2228,18.618802430128657,11.2631244,49467.0,0.8009560229445507,0.0596558317399617,0.0070745697896749,0.0753346080305927,22.3281907433,1427.0,2.3,4.9,184873.053845853
2229,942.5642479230451,98.25007954,77733.0,0.5357835533559424,0.1052335446403551,0.1023265101685528,0.2016477976042064,47.3178233318,6694.0,9.6,3.6,373994.4266342507
2230,21.541151353726132,87.08240535,77489.0,0.5475181598062954,0.0785411622276029,0.0035310734463276,0.3475585149313963,12.6336179066,1387.0,-4.3,3.3,192431.06466604816
2231,6.370990576615019,31.53038498,55714.0,0.1042367962855484,0.0083575159605339,0.007893209518282,0.8690655832849681,13.0277224135,869.0,14.2,3.5,176788.01044367792
2232,18.74490679728566,53.99300032,56246.0,0.7702679830747532,0.0188998589562764,0.0053596614950634,0.1655289139633286,21.3879032924,1453.0,28.7,4.5,178884.9972860246
2233,181.24493682704488,84.85523385,58961.0,0.3089101597738102,0.0449836835764147,0.013664626356927,0.6057419280624323,16.2679077128,2234.0,10.9,3.4,232081.9979602443
2234,199.80131873009447,76.71014954,57977.0,0.5533501337975111,0.1233431191707152,0.0079239302694136,0.2703593047725442,26.2562834775,4125.0,10.3,3.8,333074.70339851175
2235,842.9266825832303,94.33662106,46753.0,0.1134617983797277,0.0282040115195741,0.0123513123558176,0.8263677183919266,24.6642711382,3282.0,8.2,4.5,206768.67537113375
2236,38.64068259539781,76.6783328,53610.0,0.7052767657774122,0.0280644023974615,0.0081795745681043,0.2175108708426372,30.8500822401,2745.0,5.8,3.2,281962.9275080561
2237,21.653270595850376,33.98027362,47110.0,0.5131423856671381,0.2185289957567185,0.003005657708628,0.2336751532296086,12.661391087,1333.0,17.7,4.3,174265.79932542195
